"Country","Sample","X","Y","aet_03","aet_04","aet_05","aet_06","aet_07","aet_08","aet_09","aet_10","aet_lt","def_03","def_04","def_05","def_06","def_07","def_08","def_09","def_10","def_lt","moist_03","moist_04","moist_05","moist_06","moist_07","moist_08","moist_09","moist_10","moist_lt","name","pdsi_03","pdsi_04","pdsi_05","pdsi_06","pdsi_07","pdsi_08","pdsi_09","pdsi_10","pdsi_lt","pet_03","pet_04","pet_05","pet_06","pet_07","pet_08","pet_09","pet_10","pet_lt","pr_03","pr_04","pr_05","pr_06","pr_07","pr_08","pr_09","pr_10","pr_lt","srad_03","srad_04","srad_05","srad_06","srad_07","srad_08","srad_09","srad_10","srad_lt","swe_03","swe_04","swe_05","swe_06","swe_07","swe_08","swe_09","swe_10","swe_lt","tmmn_03","tmmn_04","tmmn_05","tmmn_06","tmmn_07","tmmn_08","tmmn_09","tmmn_10","tmmn_lt","tmmx_03","tmmx_04","tmmx_05","tmmx_06","tmmx_07","tmmx_08","tmmx_09","tmmx_10","tmmx_lt","vap_03","vap_04","vap_05","vap_06","vap_07","vap_08","vap_09","vap_10","vap_lt","vpd_03","vpd_04","vpd_05","vpd_06","vpd_07","vpd_08","vpd_09","vpd_10","vpd_lt","bulk","clay","ph","soc","water","soil_moisture_03","soil_moisture_03_1","soil_moisture_05","soil_moisture_06","soil_moisture_07","soil_moisture_08","soil_moisture_09","soil_moisture_10","soil_moisture_lt","evi_03","evi_04","evi_05","evi_06","evi_07","evi_08","evi_09","evi_10","evi_lt","ndvi_03","ndvi_04","ndvi_05","ndvi_06","ndvi_07","ndvi_08","ndvi_09","ndvi_10","ndvi_lt","fpar_03","fpar_04","fpar_05","fpar_06","fpar_07","fpar_08","fpar_09","fpar_10","fpar_lt","lai_03","lai_04","lai_05","lai_06","lai_07","lai_08","lai_09","lai_10","lai_lt","gpp_03","gpp_04","gpp_05","gpp_06","gpp_07","gpp_08","gpp_09","gpp_10","gpp_lt","npp_03","npp_04","npp_05","npp_06","npp_07","npp_08","npp_09","npp_10","npp_lt","height","gHM"
"France","MAPP_037",-0.61855,44.34022,48.8,61.9,84.5,119.5,53.4,24.6,85.9,37.2,54.15166667,19,37.5,19.7,0,70.4,95.8,0,20,22.75,100.3,58.1,47.3,49.1,33.9,26.3,28.6,23.8,86.025,"Marais du Plata",2.46,0.95,-2.62,-1.74,-1.86,-2.67,-2.25,-2.83,-2.3815,67.8,99.4,104.2,119.5,123.8,120.4,85.9,57.1,76.90166667,17,21,78,128,40,18,93,34,78.38333333,143.1,193.6,220.9,247.8,248.7,220.6,172.7,111.8,152.65,0,0,0,0,0,0,0,0,0,5,7,8.5,13.4,13.6,14.1,14.2,9.3,8.763333333,16.5,18.5,19.8,24.9,25.3,26.3,25.5,19.4,19.395,0.829,0.723,1.15,1.63,1.782,1.611,1.667,1.161,1.182866667,0.55,0.85,0.56,0.72,0.62,0.91,0.78,0.56,0.5805,1270,1900,610,30,32,0.2551091,0.19498642,0.2319982,0.2350185,0.18953185,0.14152299,0.19651729,0.19397838,0.23927315,0.2647,0.2797,0.466,0.47545,0.45675,0.4244,0.3408,0.3805,0.349538261,0.56695,0.60135,0.7636,0.836,0.8013,0.78295,0.78705,0.7361,0.720787826,0.60875,0.49,0.57875,0.77875,0.75,0.8,0.82125,0.842857143,0.639041394,1.35,1.1,1.7875,3.225,3.557142857,3.75,3.8875,2.671428571,2.024183007,0.026775,0.0314,0.04645,0.039725,0.063675,0.066075,0.045975,0.0351,0.031908261,0.024075,0.0285,0.0394,0.030225,0.047425,0.0444,0.02715,0.0285,0.023545652,55,0.2795139
"Ireland","MAPP_038",-9.714788,53.423194,35.5,49.6,78.2,68.5,63,73.4,49.9,33.3,47.77666667,0,14.4,0,11.4,23.2,0,0,0,3.455,41.9,17.2,41.9,22.3,13.1,32.4,41.9,41.9,37.06333333,"",3.73,2.61,2.5,2,1.42,1.06,0.89,1.89,1.272833333,35.5,64,78.2,80,86.2,73.4,49.9,33.3,51.23166667,98,26,124,52,57,98,125,198,111.5333333,90.6,158.1,201.1,200.3,185.4,153.2,113.8,63.8,107.9783333,0,0,0,0,0,0,0,0,0,4.8,5,6.2,9.6,13.6,12.4,11.6,9,7.323333333,11.1,12.3,13.8,16.6,20,19.2,18.3,15.1,13.64666667,0.921,0.819,0.956,1.235,1.56,1.514,1.477,1.235,1.061783333,0.17,0.34,0.31,0.31,0.39,0.32,0.26,0.2,0.261666667,1160,1700,530,90,28,0.4869652,0.46485215,0.46175307,0.458919,0.45045805,0.46923724,0.4724618,0.52320224,0.48700655,0.24325,0.25395,0.34275,0.34025,0.4188,0.45075,0.31335,0.4885,0.29925913,0.43855,0.43625,0.56305,0.61165,0.6801,0.75795,0.55345,0.6693,0.501077391,0.31125,0.341428571,0.38625,0.36625,0.484285714,0.4375,0.38625,0.358571429,0.353202614,0.475,0.628571429,0.8125,0.925,1.271428571,1.05,0.75,0.628571429,0.760348584,0.007425,0.015666667,0.0228,0.036375,0.0409,0.026275,0.0175,0.0066,0.012734783,0.006125,0.0138,0.020175,0.03145,0.03415,0.0214,0.013425,0.004733333,0.010245652,29,0.16666207
"Ireland","MAPP_039",-9.43587,53.401868,34.4,48.8,76.6,66.1,72,71.7,44.7,31.1,46.55333333,0,11.3,0,13.5,16,0,0,0,2.68,47.1,27.8,47.1,24,14.4,45.3,47.1,47.1,42.91666667,"",3.93,2.8,2.69,1.98,1.41,1,1,1.97,1.208,34.4,60.1,76.6,79.6,88,71.7,44.7,31.1,49.23333333,114,31,135,45,66,108,137,216,121.4666667,89.9,156.4,199.6,200.3,184.8,151.8,113.6,64,107.49,0,0,0,0,0,0,0,0,0,4.2,4,5.6,8.9,13.2,11.7,10.8,8.2,6.623333333,10.8,11.7,13.5,16.4,20,18.8,17.8,14.5,13.22,0.9,0.804,0.931,1.198,1.512,1.475,1.483,1.196,1.036583333,0.16,0.29,0.3,0.31,0.42,0.3,0.19,0.18,0.241333333,1110,1000,470,150,30,0.42780635,0.39220846,0.37008002,0.36492762,0.32323757,0.33463553,0.34449852,0.40561357,0.39827046,0.2314,0.2444,0.306,0.36765,0.33075,0.33595,0.3879,0.2704,0.287557018,0.4207,0.40945,0.52215,0.63755,0.6874,0.657,0.74385,0.609,0.496333333,0.28875,0.342857143,0.26625,0.35375,0.46,0.4375,0.49875,0.278571429,0.326470588,0.425,0.642857143,0.5875,0.9125,1.257142857,1.1625,1.175,0.457142857,0.730936819,0.00625,0.0139,0.018375,0.031675,0.032875,0.024925,0.016025,0.007966667,0.013450435,0.005125,0.0122,0.016,0.027075,0.02545,0.0203,0.01215,0.0055,0.010691739,211,0.14697517
"Ireland","MAPP_040",-9.691109,53.9931,29.9,50.6,69.1,63.9,73.2,55.3,37.7,26.2,44.07666667,0,6.3,0,2.2,4.1,0,0,0,1.225,43.5,32.7,43.5,39.7,33.6,43.5,43.5,43.5,41.26,"",4.07,2.99,3.14,2.49,1.99,2.14,1.85,2.37,1.418666667,29.9,56.9,69.1,66.1,77.3,55.3,37.7,26.2,45.30166667,127,42,153,63,71,143,136,221,140.0833333,88.1,154.7,198.4,195.6,180.7,144.8,109.9,61.1,104.6633333,0,0,0,0,0,0,0,0,0,3.5,3.6,4.8,7.8,11.9,10.8,10,7.4,5.966666667,9.6,10.7,12.3,14.7,18.3,17.5,16.6,13.3,12.14333333,0.87,0.793,0.914,1.176,1.467,1.503,1.44,1.159,1.0082,0.12,0.25,0.23,0.19,0.29,0.15,0.12,0.12,0.188333333,980,2100,510,155,33,0.46168742,0.4516321,0.4540135,0.43338317,0.42003793,0.46826977,0.46068653,0.49544176,0.4711978,0.2634,0.26345,0.32685,0.2485,0.2862,0.4144,0.35435,0.2175,0.267003478,0.46365,0.43455,0.56005,0.3884,0.4463,0.7373,0.6351,0.5767,0.46828,0.285,0.364285714,0.29125,0.39625,0.427142857,0.35,0.3675,0.341428571,0.320348584,0.425,0.657142857,0.625,1.025,1.314285714,0.8375,0.7625,0.557142857,0.693464052,0.00865,0.0152,0.021775,0.022525,0.04465,0.01685,0.021875,0.007133333,0.012335217,0.007225,0.013433333,0.019275,0.0196,0.03585,0.0137,0.011975,0.004833333,0.009936087,140,0.13127877
"Canada","MAPP_041",-79.53712,45.423104,0,62,82.1,117.9,113.9,87.3,70.4,40.7,44.43666667,0,0,20.7,0,0,19.2,0,0,6.208333333,91.2,91.2,55.7,85.5,91.2,58.2,91.2,91.2,78.54333333,"",2.47,2.03,1.11,2.16,3.54,2.85,5.28,5.6,2.333333333,0,62,102.8,117.9,113.9,106.5,70.4,40.7,50.645,72,67,44,156,139,57,234,128,98.11666667,150.9,186.5,225.8,246.9,241.8,209.2,154.2,92.9,145.2833333,348,5,0,0,0,0,0,0,117.7,-7.9,-0.5,3.9,11.1,11.4,14,8.3,6.1,-0.056666667,3.5,10.9,16.9,23.5,23.4,25.9,19.6,16.1,10.675,0.385,0.633,0.797,1.447,1.652,1.887,1.35,1.162,0.884083333,0.18,0.32,0.57,0.67,0.47,0.59,0.34,0.23,0.316666667,1090,800,480,70,25,0.48452222,0.5427991,0.5436726,0.5436726,0.5436726,0.5436726,0.5436726,0.5436726,0.5431067,0.2308,0.3006,0.53575,0.65985,0.62555,0.5435,0.45575,0.2685,0.324826087,0.38165,0.62495,0.85575,0.90635,0.90745,0.88425,0.7729,0.6609,0.556302609,0.23625,0.407142857,0.5625,0.825,0.804285714,0.865,0.71875,0.412857143,0.428187773,0.425,0.885714286,2.2625,5.3875,4.057142857,4.825,3.375,0.671428571,1.809170306,0.00295,0.0134,0.0425,0.07855,0.065025,0.05675,0.04675,0.013466667,0.026034348,0.0026,0.011866667,0.036075,0.057325,0.04575,0.038525,0.034325,0.011666667,0.019207391,336,0.028237578
"China","MAPP_043",126.362778,42.348333,27.6,76.3,77.8,113.6,70.6,111.8,75.2,59,51.62166667,0,16.7,39.9,0,47.7,0,8.9,0,9.568333333,36.5,17.1,11.9,31.6,16.2,47.4,32.1,47.4,24.78666667,"",0.83,-2.06,-2.21,-1.49,-2.7,-3.46,-3.43,-0.64,-2.438166667,27.6,93,117.6,113.6,118.3,111.8,84.1,59,61.19,20,28,76,140,58,183,63,121,66.33333333,175,205.4,232.4,235.2,211.5,198.9,182.6,133.6,165.6266667,32,0,0,0,0,0,0,0,21.95,-4.9,0.7,5.6,11.8,19.5,15.7,9.8,0.5,-0.89,7.2,14.5,19.4,24,29.4,25.9,22.7,13.9,11.845,0.334,0.42,0.775,1.454,2.175,1.87,1.362,0.575,0.773366667,0.39,0.73,0.81,0.74,1.02,0.7,0.63,0.54,0.535166667,1030,2000,570,55,41,0.37858757,0.29874456,0.32511654,0.448756,0.24891895,0.25215653,0.26318794,0.33216345,0.31239426,0.1605,0.1937,0.3253,0.4235,0.5555,0.4631,0.21395,0.1762,0.230409565,0.33065,0.38955,0.59015,0.6579,0.85235,0.7454,0.5679,0.4214,0.409650435,0.13375,0.21,0.44625,0.65375,0.65,0.5575,0.5725,0.265714286,0.333859649,0.2125,0.4,1.1375,2.7125,2.571428571,1.8,1.5,0.357142857,1.097807018,0.003875,0.009833333,0.029975,0.0534,0.0547,0.0551,0.02855,0.007233333,0.021065652,0.003375,0.0086,0.025075,0.038575,0.03005,0.037675,0.022525,0.006133333,0.013501739,613,0.46444052
"China","MAPP_044",126.519167,42.224722,2.6,84.8,99,105.6,93,100.2,69.8,55.4,50.18,0,0,9.1,0,15.9,0,7.6,0,5.145,31,49.8,34.2,49.8,22.5,49.8,36.7,49.8,31.55666667,"",1.4,-1.02,-1.05,-0.59,-1.76,-2.2,-2.4,2.48,-2.255833333,2.6,84.8,108,105.6,108.9,100.2,77.4,55.4,55.325,24,32,87,153,69,203,60,121,69.23333333,171.5,203.6,229.8,230.5,204.5,192.6,179.4,132.9,162.6316667,80,1,0,0,0,0,0,0,23.91666667,-7.3,-1.8,3.2,9.5,17.1,13.1,7.3,-1.6,-2.885,4.8,12.1,17.1,21.8,27,23.4,20.1,11.8,9.815,0.303,0.384,0.7,1.318,2.001,1.711,1.229,0.513,0.707883333,0.31,0.59,0.66,0.59,0.77,0.49,0.46,0.45,0.423333333,1010,1900,590,50,36,0.34841183,0.30342942,0.27865434,0.33704245,0.23715045,0.2711503,0.27961105,0.32905,0.2858028,0.1592,0.16325,0.2006,0.29525,0.5604,0.4418,0.2753,0.1604,0.199352632,0.3067,0.32735,0.3997,0.5,0.8067,0.77685,0.51735,0.4084,0.35707193,0.1575,0.214285714,0.245,0.3825,0.614285714,0.59375,0.4425,0.23,0.260592105,0.275,0.414285714,0.525,0.9625,2.542857143,1.8875,1.1,0.285714286,0.714692982,0.00385,0.008633333,0.017875,0.032225,0.047575,0.054125,0.024225,0.0061,0.01634,0.003325,0.0075,0.01545,0.026075,0.0282,0.0384,0.018975,0.005366667,0.012131739,893,0.07314498
"China","MAPP_045",128.3275,42.036944,0,77.7,89.3,92.6,92.8,89,61.9,49.4,43.93,0,0,10.1,0,0,0,10.5,0,2.646666667,18.8,38.6,21.2,38.6,38.6,38.6,20.5,20.7,27.815,"",0.91,-1.17,-1.5,-1.12,-1.9,-1.09,-1.56,-1.12,-1.395666667,0,77.7,99.5,92.6,92.8,89,72.4,49.4,46.57666667,24,34,73,153,128,236,46,52,64.81666667,160.5,196.2,216.7,212.8,185.5,178.9,170.4,130,153.825,74,3,0,0,0,0,0,0,23.63333333,-10,-3.1,1.4,6.8,13.9,10.2,5.2,-3.5,-4.798333333,2.2,10.2,14.9,19.1,23.7,20.4,17.9,9.7,7.345,0.309,0.327,0.589,1.141,1.712,1.447,1.034,0.446,0.621416667,0.19,0.54,0.6,0.46,0.55,0.38,0.44,0.39,0.340166667,990,2000,620,65,30,0.20630048,0.23277763,0.26487163,0.29604903,0.321069,0.32362133,0.26023403,0.1820363,0.26823387,0.146,0.164,0.31605,0.4561,0.4715,0.4256,0.26245,0.1371,0.219746087,0.32145,0.4076,0.65925,0.6941,0.8398,0.83335,0.58235,0.4468,0.452225217,0.205,0.28,0.27625,0.6175,0.492857143,0.72875,0.5075,0.235714286,0.341710526,0.3875,0.6,0.675,2.8625,2.2,3.2625,1.525,0.357142857,1.028508772,0.0017,0.0077,0.017025,0.0492,0.061575,0.051425,0.0218,0.004266667,0.018519565,0.0015,0.007,0.01545,0.039725,0.0453,0.0403,0.019325,0.003966667,0.015305217,1340,0.14671387
"China","MAPP_046",128.6625,42.478333,0,68.8,79.9,92.9,87.5,90.2,66.2,48.6,44.62666667,0,0,17.9,0,6,0,5.6,0,2.533333333,34.6,41.2,21.4,55.5,45.1,55.5,45.8,55.5,41.04166667,"",1.01,-1.3,-1.95,-1.68,-2.77,-2.6,-2.63,-1.57,-1.01,0,68.8,97.8,92.9,93.5,90.2,71.8,48.6,47.16,17,28,56,144,81,201,60,63,63.93333333,165.5,197.4,216,213.3,185,176.4,170.5,127.1,153.0483333,59,7,0,0,0,0,0,1,21.71666667,-9.5,-4,1.3,7.2,14.4,10.6,5,-3.8,-4.583333333,2.9,9.3,14.6,19.1,24.1,20.6,17.6,9.3,7.465,0.269,0.329,0.588,1.145,1.761,1.444,1.023,0.422,0.602116667,0.26,0.49,0.58,0.47,0.57,0.41,0.42,0.4,0.3665,800,1500,540,95,45,0.21639796,0.26181358,0.23423275,0.27499878,0.26623404,0.30107445,0.2693741,0.26580694,0.25602973,0.13415,0.21565,0.22935,0.45235,0.51465,0.37535,0.2353,0.2262,0.225826957,0.18885,0.43365,0.45585,0.78945,0.87065,0.8063,0.6681,0.5381,0.41161913,0.1525,0.23,0.27375,0.32875,0.761428571,0.6,0.48625,0.43,0.334627193,0.2625,0.485714286,0.6625,1.175,3.9,2.7375,1.1625,0.728571429,1.067763158,0.003625,0.0108,0.015425,0.0232,0.05155,0.044775,0.0211,0.009666667,0.019063913,0.00335,0.009733333,0.01385,0.0174,0.0352,0.033275,0.0184,0.0086,0.014442609,1474,0.21642736
"Canada","MAPP_048",-69.610532,47.740337,0,55.2,88.3,104.5,67,27.8,70.5,36.5,41.36833333,0,0,9.2,14.2,48.4,82,0,0,9.886666667,52.6,52.6,36.9,22.5,14.7,11.1,18.1,52.6,41.78333333,"",-1.35,-1.85,-2.05,-1.61,-1.83,-3.3,-3.41,-3.21,0.556166667,0,55.2,97.5,118.7,115.4,109.8,70.5,36.5,51.255,72,55,65,95,62,26,82,78,85.71666667,149.2,193.8,226.4,237.8,228.2,205.6,148.9,88.7,146.53,336,12,0,0,0,0,0,0,117.1333333,-8.8,-1.1,3.5,10.5,11.1,13.2,8.6,4.3,-0.916666667,1.5,8.5,15.1,22.1,22,24.2,18.9,12.9,9.32,0.327,0.577,0.741,1.274,1.398,1.596,1.261,0.958,0.736083333,0.17,0.26,0.51,0.7,0.59,0.68,0.39,0.21,0.320666667,1020,1200,480,100,32,0.40049553,0.3257505,0.34323746,0.3427232,0.3515777,0.2835586,0.3537555,0.3640088,0.34630412,0.08745,0.29195,0.307,0.41095,0.4112,0.39665,0.3359,0.3273,0.23192087,0.10505,0.6632,0.67485,0.71045,0.76055,0.7254,0.72735,0.6224,0.423266087,0.07625,0.271428571,0.3825,0.57375,0.561428571,0.59375,0.42625,0.3,0.285131004,0.1125,0.514285714,0.9625,1.6875,1.657142857,1.7375,0.95,0.471428571,0.700655022,8e-04,0.009466667,0.022075,0.0488,0.05655,0.04655,0.022575,0.0089,0.016263043,0.000675,0.0083,0.0187,0.040125,0.044925,0.0349,0.019225,0.007233333,0.013247826,110,0.37146068
"Canada","MAPP_049",-77.995556,46.767435,0,58.8,76.8,116.3,113.9,87.9,64.1,34.1,42.075,0,0,19,0,0,13.4,0,0,2.901666667,60.2,60.2,27.6,52.5,60.2,37.1,60.2,60.2,53.76833333,"",2.6,1.29,-2.41,-1.48,1.99,1.4,3.42,3.87,1.411666667,0,58.8,95.8,116.3,113.9,101.3,64.1,34.1,44.97666667,61,40,40,149,166,68,188,104,85.53333333,152,188.7,223.8,243.8,235.5,203.5,147.8,87.1,141.6666667,292,6,0,0,0,0,0,0,105.15,-11.8,-1.8,2.5,9.9,10.8,13,7.1,4.8,-2.586666667,1.9,10.4,16.3,23.3,23.4,25.3,18.3,14.3,9.19,0.341,0.554,0.757,1.34,1.527,1.783,1.252,1.048,0.805933333,0.14,0.35,0.54,0.71,0.57,0.59,0.31,0.2,0.302166667,870,1000,460,125,27,0.39893165,0.5477212,0.56716526,0.56716526,0.56716526,0.56716526,0.56716526,0.56716526,0.5661921,0.2068,0.2765,0.54345,0.67305,0.55915,0.55405,0.3617,0.2233,0.359306957,0.3968,0.65175,0.8511,0.8875,0.89975,0.77215,0.72415,0.6604,0.602233043,0.29,0.381428571,0.59375,0.64625,0.834285714,0.72,0.44125,0.437142857,0.432991266,0.5,0.857142857,2.525,2.95,4.414285714,3.4875,1.6,0.685714286,1.690611354,0.00225,0.0159,0.033675,0.057525,0.069875,0.05245,0.029975,0.0101,0.022574348,0.00195,0.014333333,0.028125,0.044525,0.0476,0.035425,0.02455,0.008733333,0.016931739,377,0.017252747
"Canada","MAPP_050",-64.5239697,47.9417502,0,40.6,86.3,103,116.5,91.2,65.9,35.3,41.375,0,0,0,5.7,1.2,19.1,0,0,7.613333333,57.6,57.6,57.6,47.9,46.3,22.7,57.6,57.6,46.69666667,"",-1.81,-1.54,-1.4,-1.02,1.78,1.09,3.6,3.37,-1.324666667,0,40.6,86.3,108.7,117.8,110.3,65.9,35.3,48.98833333,74,105,99,98,121,71,212,101,91.5,148.2,181.3,218.8,235.7,227,204.7,144.1,89.6,144.2483333,403,29,0,0,0,0,0,0,113.0833333,-8,-0.7,5.1,11.4,13.6,15.7,9.9,5.7,0.661666667,0.8,6.8,14.5,21.1,23,25.3,19.5,14.2,9.666666667,0.382,0.632,0.868,1.369,1.579,1.844,1.447,1.065,0.804083333,0.11,0.16,0.4,0.56,0.61,0.67,0.3,0.21,0.294,1050,1800,500,80,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0071,0.26645,0.3211,0.40755,0.41275,0.416,0.40255,0.3206,0.213765217,-0.00425,0.49055,0.54145,0.68195,0.75835,0.7388,0.70565,0.5763,0.388672174,0.025,0.264285714,0.35875,0.515,0.568571429,0.6075,0.505,0.478571429,0.319803493,0.0375,0.528571429,0.85,1.3875,1.742857143,1.675,1.225,0.828571429,0.789082969,3e-04,0.009966667,0.022375,0.050225,0.059025,0.048325,0.034525,0.0164,0.020256522,0.000225,0.0086,0.0197,0.0432,0.048125,0.037125,0.027675,0.013633333,0.016743913,2,0.258452
"Canada","MAPP_051",-65.2733732,47.714249,0,38.6,84.7,99.2,109.6,82.3,62.9,33.8,40.44166667,0,0,0,11.6,6.5,26.9,0,0,8.045,59.2,59.2,59.2,39.3,33.2,18.9,59.2,59.2,47.905,"",-1.74,-1.4,-1.27,-1.1,-0.61,-1.12,2.72,2.76,-0.281666667,0,38.6,84.7,110.7,116.1,109.3,62.9,33.8,48.48666667,82,92,98,83,109,72,205,109,90.45,149.3,183.2,219.5,234.9,227.7,206.3,145,89.3,146.0116667,376,26,0,0,0,0,0,0,121.9,-8.5,-1.2,3.4,11.6,12.8,14.9,9.2,5.2,0.061666667,0.8,7.4,14.1,22.3,23.1,25.6,19.7,14.1,9.861666667,0.364,0.67,0.809,1.401,1.559,1.821,1.462,1.082,0.800716667,0.12,0.13,0.39,0.64,0.6,0.68,0.27,0.17,0.293666667,960,1300,430,40,30,0.52419,0.5905938,0.59650075,0.59650075,0.59650075,0.59650075,0.59650075,0.59650075,0.5713632,0.0323,0.2738,0.3359,0.4323,0.45505,0.4382,0.3641,0.3116,0.255784348,0.03925,0.6019,0.7083,0.7544,0.82155,0.7733,0.7294,0.7458,0.460684348,0.0575,0.491428571,0.55125,0.67375,0.837142857,0.82375,0.585,0.547142857,0.410021834,0.1,1.128571429,1.525,2.2125,3.8,3.325,1.85,1.214285714,1.252620087,3e-04,0.0155,0.033075,0.058875,0.071575,0.0587,0.040775,0.0201,0.023905217,2e-04,0.012833333,0.027375,0.044875,0.04615,0.032275,0.0282,0.015,0.017201304,59,0.030229079
"Canada","MAPP_052",-65.142497,46.308548,0,45.1,90.3,113.2,113.6,88.8,66.3,37.8,44.495,0,0,0,0,0,17.7,0,0,7.216666667,67.3,67.3,67.3,67.3,67.3,36.9,67.3,67.3,55.025,"",-3.04,-2.43,-1.56,-0.97,2.54,1.99,2.72,2.37,0.052666667,0,45.1,90.3,113.2,113.6,106.5,66.3,37.8,51.71166667,68,110,142,120,141,61,142,77,98.43333333,148.5,175.7,214.8,234.5,228.2,206.2,153.1,96.2,145.0583333,374,8,0,0,0,0,0,0,116.2333333,-7.5,-0.9,3.1,11.5,11.6,13.8,9.3,4.7,0.065,3,9.7,15.7,24,24.2,26.2,21.1,15.1,11.51833333,0.402,0.728,0.821,1.505,1.659,1.881,1.549,1.094,0.855183333,0.15,0.16,0.46,0.67,0.54,0.62,0.29,0.2,0.318166667,1060,1300,470,0,30,0.3677122,0.39352366,0.40167734,0.30196232,0.3512502,0.34096777,0.3700993,0.34162667,0.30448702,0.152,0.2614,0.3664,0.47915,0.5469,0.4899,0.37335,0.2589,0.267953043,0.2378,0.54185,0.66385,0.7575,0.7951,0.7823,0.73585,0.68,0.477861739,0.08875,0.248571429,0.37125,0.47,0.704285714,0.65125,0.43625,0.328571429,0.322707424,0.175,0.528571429,0.9,1.3875,2.542857143,2,1.025,0.542857143,0.800655022,0.001425,0.0098,0.021975,0.046175,0.06025,0.047775,0.03095,0.0108,0.01901087,0.00115,0.008366667,0.018925,0.037975,0.0439,0.0348,0.0251,0.008766667,0.015143913,83,0.17879167
"Canada","MAPP_053",-64.83981,46.992013,0,42.7,89.9,100.1,122.2,93.4,69.1,37.4,42.73833333,0,0,0,13.4,0,19.5,0,0,9.545,66.3,66.3,66.3,43.2,65.6,32.7,66.3,66.3,52.71166667,"",-2.61,-2.09,-1.91,-1.73,-0.59,-0.72,2.29,2.01,-0.311333333,0,42.7,89.9,113.5,122.2,112.9,69.1,37.4,52.28333333,77,117,102,81,152,64,144,73,97.5,149.1,177.4,217.6,235.3,228.6,206.2,149.8,93.6,145.5216667,419,15,0,0,0,0,0,0,121.2,-7.8,-1,4.6,11.7,12.9,15.1,10,5.5,0.563333333,1.8,8.4,15.8,23,24.5,26.2,20.7,15.1,10.98833333,0.394,0.683,0.896,1.47,1.636,1.879,1.512,1.109,0.855483333,0.13,0.15,0.43,0.63,0.65,0.69,0.33,0.2,0.308333333,1050,1800,470,0,34,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.04535,0.2785,0.3496,0.45185,0.45065,0.47615,0.39605,0.5719,0.242711304,-0.04565,0.52785,0.56675,0.70485,0.7057,0.74285,0.68165,0.5829,0.410038261,0.04,0.387142857,0.45875,0.50875,0.621428571,0.75625,0.54,0.38,0.374170306,0.0625,0.814285714,1.1625,1.475,2.357142857,2.6125,1.4625,0.6,0.941921397,0.000525,0.012866667,0.029,0.051525,0.07395,0.060225,0.044125,0.0168,0.02342913,0.00045,0.011233333,0.025275,0.043875,0.052325,0.04275,0.03585,0.014133333,0.019003478,1,0.29165226
"Canada","MAPP_055",-71.813685,48.877515,0,58.9,90.4,111,103.9,69.6,60.1,30.8,40.42,0,0,10,0,5.9,33.2,0,0,4.025,38,38,20.8,22.5,17.7,11.1,38,38,33.53833333,"",2.48,0.91,-2.35,-2.01,-2.17,-3.22,-2.84,-2.56,0.232333333,0,58.9,100.5,111,109.8,102.8,60.1,30.8,44.445,60,17,70,119,104,66,145,83,84.4,153.4,198.1,228.7,238.7,223.5,195.9,139.9,83,142.465,274,7,0,0,0,0,0,0,100.2166667,-13.3,-1.1,3.4,9.6,10.9,13.5,7.6,4.3,-3.483333333,-0.4,9.3,15.8,21.9,22.3,25.2,18.3,12.9,7.81,0.292,0.531,0.723,1.283,1.426,1.717,1.3,0.994,0.725533333,0.12,0.34,0.57,0.64,0.58,0.67,0.28,0.17,0.2665,800,2000,560,145,34,-9999,0.4441776,0.32447565,0.29120684,0.33579308,0.29345813,0.3254416,0.3347675,0.36586767,0.006,0.21475,0.25005,0.3107,0.34625,0.281,0.2654,0.2397,0.146124348,0.0061,0.5293,0.52135,0.6186,0.6351,0.57815,0.5899,0.6182,0.307890435,0.02,0.308571429,0.40875,0.52125,0.638571429,0.49,0.4125,0.301428571,0.220567686,0.0125,0.557142857,0.975,1.3375,2,1.1125,0.6875,0.4,0.476855895,0.000175,0.0111,0.0204,0.035425,0.04175,0.028425,0.0145,0.0062,0.011300435,0.00015,0.009466667,0.016375,0.027525,0.0306,0.0204,0.011625,0.004633333,0.008576087,173,0.42394036
