"Well";"ID";"Date";"Cytometer_run";"Bacteria_AB_mL";"Algal_AB_mL";"Dry_weight_g";"Total_Vol_ml";"Total_Bacteria_AB_g";"Total_Algae_AB_g"
"65";" A07";"33";" 06.16.2022";"4";360000;431000;0.059;4;48813559.3220339;58440677.9661017
"66";" A08";"29";" 06.16.2022";"4";79100;662000;0.066;4;9587878.78787879;80242424.2424242
"67";" A09";"19";" 06.16.2022";"4";101000;930000;0.042;4;19238095.2380952;177142857.142857
"68";" A11";"11";" 06.16.2022";"4";46300;374000;0.052;4;7123076.92307692;57538461.5384615
"69";" A12";"7";" 06.16.2022";"4";1160000;174000;0.067;4;138507462.686567;20776119.4029851
"70";" B01";"31";" 06.16.2022";"4";88800;357000;0.027;4;26311111.1111111;105777777.777778
"71";" B02";"114";" 06.16.2022";"4";488000;1180000;0.15;4;26026666.6666667;62933333.3333333
"72";" B03";"167";" 06.16.2022";"4";69200;924000;0.153;4;3618300.65359477;48313725.4901961
"73";" B04";"159";" 06.16.2022";"4";283000;324000;0.036;4;62888888.8888889;7.2e+07
"74";" B05";"25";" 06.16.2022";"4";289000;1590000;0.088;4;26272727.2727273;144545454.545455
"75";" B06";"21";" 06.16.2022";"4";127000;294000;0.1;4;10160000;23520000
"76";" B07";"166";" 06.16.2022";"4";262000;282000;0.081;4;25876543.2098765;27851851.8518519
"77";" B09";"78";" 06.16.2022";"4";626000;789000;0.06;4;83466666.6666667;105200000
"78";" B10";"5";" 06.16.2022";"4";322000;592000;0.035;4;73600000;135314285.714286
"79";" B11";"126";" 06.16.2022";"4";554000;426000;0.058;4;76413793.1034483;58758620.6896552
"80";" B12";"121";" 06.16.2022";"4";295000;584000;0.11;4;21454545.4545455;42472727.2727273
"81";" C01";"87";" 06.16.2022";"4";3e+05;526000;0.015;4;1.6e+08;280533333.333333
"82";" A01";"263";" 06.17.2022";"5";412000;509000;0.028;4;117714285.714286;145428571.428571
"83";" A02";"102";" 06.17.2022";"5";43200;1640000;0.059;4;5857627.11864407;222372881.355932
"84";" A03";"72";" 06.17.2022";"5";462000;391000;0.122;4;30295081.9672131;25639344.2622951
"85";" A04";"77";" 06.17.2022";"5";235000;1e+05;0.077;4;24415584.4155844;10389610.3896104
"86";" A05";"256";" 06.17.2022";"5";846000;319000;0.047;4;1.44e+08;54297872.3404255
"87";" A06";"74";" 06.17.2022";"5";137000;418000;0.095;4;11536842.1052632;35200000
"88";" A07";"266";" 06.17.2022";"5";237000;149000;0.05;4;37920000;23840000
"89";" A08";"75";" 06.17.2022";"5";66100;264000;0.043;4;12297674.4186047;49116279.0697674
"90";" A09";"247";" 06.17.2022";"5";801000;1300000;0.135;4;47466666.6666667;77037037.037037
"91";" A10";"76";" 06.17.2022";"5";174000;193000;0.051;4;27294117.6470588;30274509.8039216
"92";" A11";"101";" 06.17.2022";"5";599000;392000;0.036;4;133111111.111111;87111111.1111111
"93";" A12";"264";" 06.17.2022";"5";254000;185000;0.032;4;63500000;46250000
"94";" B01";"115";" 06.17.2022";"5";9570;5680;NA;NA;NA;NA
"95";" B02";"249";" 06.17.2022";"5";240000;102000;0.024;4;8e+07;3.4e+07
"96";" B03";"142";" 06.17.2022";"5";101000;145000;0.012;4;67333333.3333333;96666666.6666667
"97";" B04";"99";" 06.17.2022";"5";507000;264000;0.07;4;57942857.1428571;30171428.5714286
"98";" B05";"253";" 06.17.2022";"5";980000;168000;0.04;4;1.96e+08;33600000
"99";" B06";"262";" 06.17.2022";"5";129000;727000;0.106;4;9735849.05660377;54867924.5283019
"100";" B07";"100";" 06.17.2022";"5";279000;304000;0.046;4;48521739.1304348;52869565.2173913
"101";" B08";"260";" 06.17.2022";"5";551000;91800;0.091;4;48439560.4395604;8070329.67032967
"102";" B09";"255";" 06.17.2022";"5";926000;266000;0.029;4;255448275.862069;73379310.3448276
"103";" B10";"261";" 06.17.2022";"5";255000;541000;0.051;4;4e+07;84862745.0980392
"104";" B11";"259";" 06.17.2022";"5";397000;705000;0.032;4;99250000;176250000
"105";" B12";"265";" 06.17.2022";"5";144000;156000;0.014;4;82285714.2857143;89142857.1428571
"106";" C01";"258";" 06.17.2022";"5";65600;781000;0.039;4;13456410.2564103;160205128.205128
"107";" A01";"49";" 06.17.2022";"6";226000;253000;0.015;4;120533333.333333;134933333.333333
"108";" A02";"50";" 06.17.2022";"6";568000;667000;0.097;4;46845360.8247423;55010309.2783505
"109";" A03";"47";" 06.17.2022";"6";330000;402000;0.019;4;138947368.421053;169263157.894737
"110";" A04";"246.1";" 06.17.2022";"6";91500;38600;0.011;4;66545454.5454545;28072727.2727273
"111";" A05";"73";" 06.17.2022";"6";598000;295000;0.049;4;97632653.0612245;48163265.3061224
"112";" A06";"113";" 06.17.2022";"6";716000;516000;NA;NA;NA;NA
"113";" A07";"257";" 06.17.2022";"6";121000;393000;0.048;4;20166666.6666667;65500000
"114";" A08";"53";" 06.17.2022";"6";757000;277000;0.059;4;102644067.79661;37559322.0338983
"115";" A09";"56";" 06.17.2022";"6";3e+05;215000;0.011;4;218181818.181818;156363636.363636
"116";" A10";"51";" 06.17.2022";"6";726000;373000;0.039;4;148923076.923077;76512820.5128205
"117";" A11";"52";" 06.17.2022";"6";178000;354000;0.027;4;52740740.7407407;104888888.888889
"118";" A12";"153";" 06.17.2022";"6";597000;410000;0.03;4;159200000;109333333.333333
"119";" B01";"55";" 06.17.2022";"6";484000;581000;0.014;4;276571428.571429;3.32e+08
"120";" B02";"48";" 06.17.2022";"6";738000;250000;0.051;4;115764705.882353;39215686.2745098
"121";" B03";"23";" 06.17.2022";"6";188000;793000;0.058;4;25931034.4827586;109379310.344828
"122";" B04";"210";" 06.17.2022";"6";161000;361000;0.081;4;15901234.5679012;35654320.9876543
"123";" B05";"213";" 06.17.2022";"6";42700;502000;0.06;4;5693333.33333333;66933333.3333333
"124";" B06";"211";" 06.17.2022";"6";6e+05;86600;0.05;4;9.6e+07;13856000
"125";" B07";"222";" 06.17.2022";"6";127000;484000;0.057;4;17824561.4035088;67929824.5614035
"126";" B08";"224";" 06.17.2022";"6";827000;422000;0.02;4;330800000;168800000
"127";" B09";"214";" 06.17.2022";"6";432000;327000;0.058;4;59586206.8965517;45103448.2758621
"128";" B10";"221";" 06.17.2022";"6";486000;9380;0.095;4;40926315.7894737;789894.736842105
"129";" B11";"223";" 06.17.2022";"6";126000;71600;0.025;4;40320000;22912000
"130";" B12";"246.2";" 06.17.2022";"6";272000;547000;0.029;4;75034482.7586207;150896551.724138
"131";" C01";"212";" 06.17.2022";"6";713000;151000;0.031;4;1.84e+08;38967741.9354839
"132";" A01";"195";" 06.20.2022";"7";260000;247000;0.025;4;83200000;79040000
"133";" A02";"128";" 06.20.2022";"7";48800;333000;0.051;4;7654901.96078431;52235294.1176471
"134";" A03";"130";" 06.20.2022";"7";502000;147000;0.053;4;75773584.9056604;22188679.245283
"135";" A04";"97";" 06.20.2022";"7";207000;329000;0.032;4;51750000;82250000
"136";" A05";"40";" 06.20.2022";"7";29700;170000;0.032;4;7425000;42500000
"137";" A06";"117";" 06.20.2022";"7";668000;183000;0.045;4;118755555.555556;32533333.3333333
"138";" A07";"120";" 06.20.2022";"7";85700;356000;0.067;4;10232835.8208955;42507462.6865672
"139";" A08";"129";" 06.20.2022";"7";163000;182000;0.051;4;25568627.4509804;28549019.6078431
"140";" A09";"67";" 06.20.2022";"7";36300;406000;0.026;4;11169230.7692308;124923076.923077
"141";" A10";"122";" 06.20.2022";"7";754000;293000;0.104;4;5.8e+07;22538461.5384615
"142";" A11";"193";" 06.20.2022";"7";2e+05;182000;0.025;4;6.4e+07;58240000
"143";" A12";"41";" 06.20.2022";"7";272000;198000;0.024;4;90666666.6666667;6.6e+07
"144";" B01";"125";" 06.20.2022";"7";109000;718000;0.034;4;25647058.8235294;168941176.470588
"145";" B02";"82";" 06.20.2022";"7";550000;384000;0.02;4;2.2e+08;153600000
"146";" B03";"89";" 06.20.2022";"7";150000;241000;0.011;4;109090909.090909;175272727.272727
"147";" B04";"65";" 06.20.2022";"7";247000;620000;0.051;4;38745098.0392157;97254901.9607843
"148";" B05";"15";" 06.20.2022";"7";114000;326000;0.039;4;23384615.3846154;66871794.8717949
"149";" B06";"112";" 06.20.2022";"7";742000;255000;0.019;4;312421052.631579;107368421.052632
"150";" B07";"160";" 06.20.2022";"7";62000;485000;0.062;4;8e+06;62580645.1612903
"151";" B08";"194";" 06.20.2022";"7";533000;711000;0.031;4;137548387.096774;183483870.967742
"152";" B09";"250";" 06.20.2022";"7";757000;655000;0.117;4;51760683.7606838;44786324.7863248
"153";" B10";"27";" 06.20.2022";"7";14200;51200;0.081;4;1402469.13580247;5056790.12345679
"154";" B11";"17";" 06.20.2022";"7";28100;1060000;0.069;4;3257971.01449275;122898550.724638
"155";" B12";"203";" 06.20.2022";"7";443000;737000;0.026;4;136307692.307692;226769230.769231
"156";" C01";"64";" 06.20.2022";"7";306000;677000;0.039;4;62769230.7692308;138871794.871795
"157";" A01";"171";" 06.20.2022";"8";48900;446000;0.051;4;7670588.23529412;69960784.3137255
